config,signal_ts,entry_ts,exit_ts,side,entry_price,exit_price,reason,bars_held,net_ret_1x,mae_1x,mfe_1x,side_label
HYPE_5M_MS_R11999,2025-06-21 16:10:00+00:00,2025-06-21 16:15:00+00:00,2025-06-21 16:25:00+00:00,-1,33.136406443999995,33.02827545740068,target_limit,3,0.002435238504337688,-0.008610889723853725,0.0032111642576517774,short
HYPE_5M_MS_R11999,2025-06-21 18:15:00+00:00,2025-06-21 18:20:00+00:00,2025-06-21 18:50:00+00:00,-1,32.72285066600001,32.616069197923906,target_limit,7,0.0024352385043377995,-0.012581979435576167,0.0033570017209455516,short
HYPE_5M_MS_R11999,2025-06-21 19:00:00+00:00,2025-06-21 19:05:00+00:00,2025-06-21 19:10:00+00:00,-1,32.487103894,32.38109171667627,target_limit,2,0.002435238504337466,-0.004443832591497735,0.00646730144630725,short
HYPE_5M_MS_R11999,2025-06-21 19:20:00+00:00,2025-06-21 19:25:00+00:00,2025-06-21 19:25:00+00:00,-1,32.472119989,32.36615670727493,target_limit,1,0.0024352385043377995,-0.004691561342266685,0.006593963962701843,short
HYPE_5M_MS_R11999,2025-06-21 19:40:00+00:00,2025-06-21 19:45:00+00:00,2025-06-21 19:55:00+00:00,-1,31.982645759000004,31.87827973349807,target_limit,3,0.002435238504337688,-0.007898539999458902,0.00624231530137942,short
HYPE_5M_MS_R11999,2025-06-21 20:05:00+00:00,2025-06-21 20:10:00+00:00,2025-06-21 20:15:00+00:00,-1,31.913719796000002,31.809578690251932,target_limit,2,0.0024352385043377995,-0.00828839729673138,0.003908030677628238,short
HYPE_5M_MS_R11999,2025-06-21 20:55:00+00:00,2025-06-21 21:00:00+00:00,2025-06-21 21:10:00+00:00,-1,32.45513823,32.34923036328676,target_limit,3,0.0024352385043377995,-0.007959283930105492,0.004194658763590153,short
HYPE_5M_MS_R11999,2025-06-21 22:25:00+00:00,2025-06-21 22:30:00+00:00,2025-06-21 22:35:00+00:00,-1,32.866696154,32.7594452881767,target_limit,2,0.002435238504337688,-0.006052704305280502,0.007658091121196198,short
HYPE_5M_MS_R11999,2025-06-21 23:00:00+00:00,2025-06-21 23:05:00+00:00,2025-06-21 23:10:00+00:00,-1,33.007544861,32.89983437654922,target_limit,2,0.0024352385043377995,-0.006427078769854392,0.004470034400357092,short
HYPE_5M_MS_R11999,2025-06-22 09:50:00+00:00,2025-06-22 09:55:00+00:00,2025-06-22 09:55:00+00:00,-1,33.438082398,33.32896698001419,target_limit,1,0.002435238504337688,-0.0033429871889816424,0.005923856387525461,short
